PING 192.168.1.3 (192.168.1.3) 56(84) bytes of data.
64 bytes from 192.168.1.3: icmp_req=159 ttl=64 time=3.63 ms
64 bytes from 192.168.1.3: icmp_req=160 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=161 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=162 ttl=64 time=3.58 ms
64 bytes from 192.168.1.3: icmp_req=163 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=164 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=165 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=166 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=167 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=168 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=169 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=170 ttl=64 time=3.53 ms
64 bytes from 192.168.1.3: icmp_req=171 ttl=64 time=3.41 ms
64 bytes from 192.168.1.3: icmp_req=172 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=173 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=174 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=175 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=176 ttl=64 time=8.23 ms
64 bytes from 192.168.1.3: icmp_req=177 ttl=64 time=7.00 ms
64 bytes from 192.168.1.3: icmp_req=178 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=179 ttl=64 time=4.67 ms
64 bytes from 192.168.1.3: icmp_req=180 ttl=64 time=4.60 ms
64 bytes from 192.168.1.3: icmp_req=181 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=182 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=183 ttl=64 time=4.81 ms
64 bytes from 192.168.1.3: icmp_req=184 ttl=64 time=3.60 ms
64 bytes from 192.168.1.3: icmp_req=185 ttl=64 time=4.78 ms
64 bytes from 192.168.1.3: icmp_req=186 ttl=64 time=3.53 ms
64 bytes from 192.168.1.3: icmp_req=187 ttl=64 time=3.55 ms
64 bytes from 192.168.1.3: icmp_req=188 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=189 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=190 ttl=64 time=3.42 ms
64 bytes from 192.168.1.3: icmp_req=191 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=192 ttl=64 time=3.56 ms
64 bytes from 192.168.1.3: icmp_req=193 ttl=64 time=6.95 ms
64 bytes from 192.168.1.3: icmp_req=194 ttl=64 time=3.59 ms
64 bytes from 192.168.1.3: icmp_req=195 ttl=64 time=3.50 ms
